Cone Head & the Barbarians,32,06:30,07:03,07:55,08:07,08:23,09:32,09:48,10:43,11:44,12:23,13:17,13:50,07:20
Thrust,85,07:24,08:02,08:58,09:07,09:27,10:48,11:06,12:07,13:22,14:09,15:05,15:41,08:17
Vikings Return,19,06:18,06:58,08:00,08:10,08:31,09:50,10:09,11:09,12:21,13:10,14:11,14:50,08:32
You Said This Was A Bar Crawl!,81,07:20,08:09,09:02,09:16,09:37,11:08,11:28,12:31,13:50,14:50,15:52,16:29,09:09
Rolls-Royce Harriers,79,07:18,08:03,09:07,09:19,09:45,11:09,11:28,12:36,13:57,14:52,15:50,16:29,09:11
Endurance ESU,78,07:16,08:00,09:01,09:13,09:35,10:56,11:17,12:34,13:51,14:46,15:55,16:44,09:28
Imperial College Fellwanderers 1,59,06:58,07:38,08:38,08:49,09:13,10:44,11:07,12:12,13:36,14:35,15:40,16:26,09:28
Long Way From Essex,17,06:16,06:57,08:02,08:18,08:41,10:15,10:38,11:47,13:06,14:08,15:13,15:52,09:36
Worst Pub Crawl... Ever A,89,07:28,08:12,09:24,09:27,09:54,11:30,11:50,13:07,14:28,15:25,16:37,17:19,09:51
The Pink Mugs (P&B/SRC),77,07:16,08:01,09:00,09:10,09:37,11:12,11:39,12:52,14:23,15:20,16:27,17:10,09:54
Mr Beans Boys,45,06:44,07:24,08:28,08:41,09:05,10:38,11:06,12:20,13:50,14:52,16:01,16:44,10:00
they see me strollin,84,07:22,08:09,09:15,09:27,09:50,11:23,11:42,13:11,14:40,15:40,16:55,17:49,10:27
Lincoln Bounders,86,07:24,08:09,09:16,09:29,09:53,11:26,11:48,13:04,14:33,15:38,17:02,17:54,10:30
Dambusters,47,06:46,07:37,08:55,09:12,09:41,11:22,11:47,13:02,14:28,15:31,16:40,17:18,10:32
Quest XXXB,76,07:14,08:05,09:16,09:28,09:53,11:30,11:50,13:09,14:41,15:42,17:02,17:50,10:36
The Banana Splits,88,07:26,08:13,09:21,09:37,10:01,11:38,12:02,13:28,15:04,16:04,17:20,18:07,10:41
No Tea Till Buxton,82,07:20,08:09,09:20,09:33,10:00,11:41,12:09,13:36,15:14,16:18,17:42,18:35,11:15
Peak Fliers,50,06:48,07:38,08:53,09:07,09:34,11:19,11:44,13:18,15:00,16:20,17:52,18:46,11:58
Belperites,87,07:26,08:20,09:40,09:55,10:25,12:23,12:52,14:28,16:00,17:10,18:34,19:33,12:07
1st Hinchley Wood A,18,06:16,07:07,08:26,08:43,09:16,11:07,11:38,13:09,15:00,16:10,17:29,18:24,12:08
Gemini Godleys,66,07:04,07:57,09:18,09:33,10:05,12:05,12:37,14:13,15:55,16:56,18:21,19:16,12:12
Blakedown Three,58,06:24,07:21,08:46,09:04,09:33,11:11,11:43,13:07,14:52,15:58,17:32,18:37,12:13
Yorkshire reunion 1,56,06:54,07:43,09:00,09:15,09:45,11:51,12:26,13:54,15:38,16:47,18:12,19:08,12:14
Back with the Birds,6,06:04,06:53,08:15,08:31,08:59,10:47,11:07,12:51,14:33,15:42,17:16,18:23,12:19
Saguila,31,06:30,07:24,08:45,09:02,09:32,11:12,11:45,13:03,14:46,15:58,17:30,18:50,12:20
Happy Feet,26,06:24,07:22,08:48,09:00,09:40,11:27,11:50,13:30,15:15,16:28,17:55,18:46,12:22
27th Norwich,55,06:54,07:47,09:08,09:26,09:56,11:54,12:30,14:03,15:47,16:55,18:23,19:27,12:33
Pa Larkins Menagerie,13,06:12,07:08,08:39,08:56,09:27,11:19,11:51,13:31,15:25,16:38,18:04,18:55,12:43
Horsley Heroes,43,06:42,07:29,08:40,08:57,09:26,11:16,11:43,13:30,15:34,16:54,18:35,19:47,13:05
Petes Posse,41,06:40,07:39,09:08,09:26,10:06,11:52,12:34,14:06,16:00,17:19,18:47,19:46,13:06
Imperial College Fellwanderers 2,60,06:58,07:47,08:54,09:06,09:34,11:28,12:03,13:35,15:38,17:02,18:39,20:06,13:08
Grumpier Old Men,10,06:08,07:07,08:41,09:02,09:36,11:22,11:57,13:31,15:28,16:59,18:35,19:37,13:29
Banstead Leaders,9,06:08,07:00,08:32,08:51,09:24,11:18,11:55,13:40,15:40,16:53,18:26,19:40,13:32
The Balti Boys,14,06:12,07:08,08:41,09:00,09:36,11:39,12:12,13:52,15:48,17:14,18:46,19:50,13:38
Llangollen Diamond Network,38,06:36,07:28,08:58,09:16,09:45,11:45,12:15,14:01,16:20,17:54,19:35,20:32,13:56
Depending on Claire,54,06:52,07:53,09:19,09:36,10:19,12:24,13:00,14:42,16:40,18:17,19:54,21:09,14:17
almost the moorland maurauders,42,06:40,07:39,09:07,09:28,10:06,12:15,12:56,14:44,16:41,18:10,19:48,20:59,14:19
The Biltongs,15,06:14,07:13,08:40,08:59,09:34,11:29,12:09,14:00,16:15,17:30,19:26,20:50,14:36
Wheres me jumper? Oh no,39,06:38,07:39,09:05,09:22,09:56,12:17,13:06,14:47,16:50,18:18,20:04,21:24,14:46
1st Hinchley Wood B,53,06:52,07:53,09:33,09:56,10:33,12:34,13:12,15:11,17:17,18:43,20:30,21:45,14:53
1st Hinchley Wood Beaney,24,06:22,07:22,08:50,09:08,09:40,11:36,12:11,14:11,16:21,17:57,19:58,21:15,14:53
The Hasty Walls,37,06:36,07:37,09:06,09:24,10:01,12:17,12:55,14:38,16:42,18:14,20:12,21:31,14:55
Stone Banks,20,06:18,07:14,08:37,08:57,09:31,11:42,12:29,14:43,16:53,18:29,20:13,21:23,15:05
Flat Country Folk,16,06:14,07:14,08:49,09:09,09:46,12:06,12:39,14:56,16:53,18:29,20:14,21:23,15:09
Follow the map,29,06:28,07:27,09:02,09:20,10:08,12:10,12:55,14:47,17:00,18:33,20:23,21:42,15:14
Charnwood Foxes,12,06:10,07:09,08:46,09:06,09:46,12:07,12:48,14:44,16:50,18:17,20:11,21:35,15:25
One sandwich short of a picnic,11,06:10,07:07,08:40,08:58,09:27,11:36,12:07,14:02,16:10,17:44,19:49,21:38,15:28
2nd Molesey,48,06:46,07:39,09:07,09:24,09:53,12:19,12:56,15:02,17:13,18:49,20:42,22:18,15:32
RVSU,5,06:04,07:01,08:38,08:58,09:46,12:06,12:52,15:08,17:23,18:55,20:49,22:04,16:00
Buxton Strugglers 1sts,3,06:02,07:04,08:53,09:13,10:08,12:34,13:24,15:52,17:49,19:09,20:52,22:06,16:04
Buxton Strugglers 2nds,4,06:02,07:04,08:58,09:20,10:09,12:35,13:22,15:52,17:47,19:12,20:54,22:10,16:08
Team Venus,33,06:32,07:32,09:17,09:36,10:13,12:29,13:07,15:11,17:27,19:04,21:22,22:56,16:24
No Sleep Til Buxton 2,8,06:06,07:09,08:57,09:21,10:04,12:29,13:10,15:30,17:50,19:20,21:15,22:53,16:47
Over the Hill,27,06:26,07:32,09:15,09:39,10:22,12:58,13:46,16:03,18:20,20:03,21:54,23:22,16:56
The old mountain goats,65,07:04,08:08,09:50,10:13,10:54,13:00,13:44,15:45,18:20,20:12,22:21,00:00,16:56
Imperial College Fellwanderers 3,61,07:00,08:18,10:19,10:40,11:21,14:03,14:49,16:47,19:00,20:43,22:44,00:05,17:05
Astra Carpets Trekkers,68,07:06,08:12,09:56,10:22,11:10,13:58,14:43,16:48,19:12,20:44,22:45,00:12,17:06
1st Hinchley Wood Explorers,52,06:50,07:45,09:21,09:42,10:19,13:05,14:04,16:28,19:10,20:23,22:51,00:43,17:53
Northern Star Explorers,67,07:06,08:09,09:47,10:05,10:52,13:16,14:04,16:32,18:50,20:47,23:00,01:01,17:55
Still laughing,7,06:06,07:12,09:00,09:22,10:07,12:42,13:22,16:07,18:30,20:23,22:44,00:02,17:56
Claybrook commited patients walking club,35,06:34,07:35,09:26,09:50,10:42,13:25,14:08,16:40,18:50,20:23,22:50,00:43,18:09
FH18... An appointment with destiny,34,06:32,07:36,09:26,09:51,10:40,13:25,14:08,16:57,18:50,20:23,22:51,00:43,18:11
1st Taxal,28,06:26,07:29,09:15,09:39,10:40,13:25,14:08,16:40,18:50,20:23,22:51,00:43,18:17
Penketh Methodist,23,06:22,07:31,09:15,09:37,10:42,13:16,14:07,16:24,18:53,20:53,23:03,01:02,18:40
thats enough,36,06:34,07:42,09:35,09:59,10:47,13:26,14:17,16:44,19:18,21:06,23:23,01:20,18:46
The Truffle Shufflers,40,06:38,07:47,09:53,10:23,11:07,15:01,Missed,17:31,20:25,22:20,01:01,03:30,20:52
3 Lost RR Souls,51,06:50,07:51,09:34,09:55,10:44,13:22,14:00,16:43,19:00,Ret.,Ret.,Ret.,Retired
2nd Molesey B,49,06:48,07:42,09:09,09:31,10:05,12:19,13:04,15:48,19:00,Ret.,Ret.,Ret.,Retired
132 Leaders,22,06:20,07:38,09:55,10:32,11:24,15:35,16:23,20:42,Ret.,Ret.,Ret.,Ret.,Retired
Imperial College Fellwanderers 4,62,07:00,08:39,10:45,11:25,12:19,15:36,16:22,19:59,Ret.,Ret.,Ret.,Ret.,Retired
Langleybury Scout Leaders,21,06:20,07:26,09:17,09:39,10:29,14:15,15:10,19:10,Ret.,Ret.,Ret.,Ret.,Retired
St Josephs (15th),30,06:28,07:36,09:28,10:05,11:06,14:20,15:19,18:47,Ret.,Ret.,Ret.,Ret.,Retired
1st Glascote and 1st Kingsbury Scout,1,06:00,07:16,09:42,10:19,11:34,15:02,16:11,Ret.,Ret.,Ret.,Ret.,Ret.,Retired
Cereal Killers,44,06:42,07:53,09:58,10:30,11:30,15:04,16:03,Ret.,Ret.,Ret.,Ret.,Ret.,Retired
Imperial College Fellwanderers 5,63,07:02,08:12,10:08,10:40,11:42,15:01,15:43,Ret.,Ret.,Ret.,Ret.,Ret.,Retired
Mombasa Express,2,06:00,07:16,09:40,10:39,11:39,Ret.,Ret.,Ret.,Ret.,Ret.,Ret.,Ret.,Retired
Girls Allowed,64,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
Grey Hares,80,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
Plodders Return,83,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
Vixys Midnight Runners,25,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
Worst Pub Crawl... Ever 1,90,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
Yorkshire reunion 2,57,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS
